date,site,engSiteName_nomSiteAng,shore_côte,latitude,longitude,habitat,gear_équipement,transect,area_m^2,species_espèce,engCommonName_nomCommunAng,TSN,AphiaID,rawAbundance_abondanceBrute,calibratedYOYAbundance_abondanceCalibréeJDA,calibratedDensity_densitéCalibrée_m^-2
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,3,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,1,0.8,0.08622336
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,1,30,Syngnathus fuscus,Northern Pipefish,166451,159451,1,5.13,1.4974299
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,1,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,2,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,3,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
6/25/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,4,30,Gasterosteiformes,Gasterosteiformes,166361,10326,2,2,1.418439716
6/26/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,6,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
6/26/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,6,30,Carcinus maenas,Green crab,98734,107381,2,181,8.808666667
6/26/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,6,30,Crangon septemspinosa,Sand shrimp,97110,158355,3,1.869193548,0.911659585
6/26/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,6,30,Myoxocephalus aenaeus,Grubby Sculpin,167321,159519,1,1,5.354611
6/26/2013,CB,Crescent Beach,South shore,44.23835,-64.40623,SG,S,6,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,Bare,S,2,30,Carcinus maenas,Green crab,98734,107381,1,90.6,9.4979
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,Bare,S,4,30,Carcinus maenas,Green crab,98734,107381,1,50.7,5.31505
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,Bare,S,5,30,Carcinus maenas,Green crab,98734,107381,1,50.7,5.31505
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,Bare,S,6,30,Carcinus maenas,Green crab,98734,107381,1,90.6,9.4979
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,1,30,Apeltes quadracus,Fourspine stickleback,166397,159436,5,5,2.303004534
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,2,30,Apeltes quadracus,Fourspine stickleback,166397,159436,206,206,94.88378682
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,3,30,Apeltes quadracus,Fourspine stickleback,166397,159436,5,5,2.303004534
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,4,30,Apeltes quadracus,Fourspine stickleback,166397,159436,5,5,2.303004534
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,5,30,Apeltes quadracus,Fourspine stickleback,166397,159436,3,3,1.381802721
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,6,30,Apeltes quadracus,Fourspine stickleback,166397,159436,3,3,1.381802721
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,7,30,Apeltes quadracus,Fourspine stickleback,166397,159436,4,4,1.842403627
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,8,30,Apeltes quadracus,Fourspine stickleback,166397,159436,41,41,18.88463718
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,9,30,Apeltes quadracus,Fourspine stickleback,166397,159436,40,40,18.42403627
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,10,30,Apeltes quadracus,Fourspine stickleback,166397,159436,2,2,0.921201814
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,11,30,Apeltes quadracus,Fourspine stickleback,166397,159436,5,5,2.303004534
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,12,30,Apeltes quadracus,Fourspine stickleback,166397,159436,5,5,2.303004534
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,7,30,Cancer irroratus,Rock crab,98679,158057,1,28.39,0.946333333
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,8,30,Cancer irroratus,Rock crab,98679,158057,1,40.85,1.361666667
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,1,30,Carcinus maenas,Green crab,98734,107381,8,47.73,2.32286
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,2,30,Carcinus maenas,Green crab,98734,107381,5,30.02,1.460973333
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,3,30,Carcinus maenas,Green crab,98734,107381,2,3.59,0.174713333
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,4,30,Carcinus maenas,Green crab,98734,107381,1,27.69,1.34758
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,5,30,Carcinus maenas,Green crab,98734,107381,8,57.1,2.778866667
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,6,30,Carcinus maenas,Green crab,98734,107381,3,46.3,2.253266667
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,7,30,Carcinus maenas,Green crab,98734,107381,3,271,13.18866667
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,8,30,Carcinus maenas,Green crab,98734,107381,2,181,8.808666667
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,9,30,Carcinus maenas,Green crab,98734,107381,4,86.46333333,4.207882222
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,10,30,Carcinus maenas,Green crab,98734,107381,1,27.69,1.34758
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,11,30,Carcinus maenas,Green crab,98734,107381,3,39.6,1.9272
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,12,30,Carcinus maenas,Green crab,98734,107381,1,6.18,0.30076
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,1,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,5,3.3,2.733011583
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,2,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,205,135.3,112.0534749
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,3,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,4,2.64,2.186409266
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,4,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,5,3.3,2.733011583
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,5,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,3,1.98,1.63980695
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,6,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,3,1.98,1.63980695
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,7,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,4,2.64,2.186409266
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,8,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,42,27.72,22.9572973
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,9,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,39,25.74,21.31749035
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,10,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,1,0.66,0.546602317
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,11,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,2,1.32,1.093204633
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,12,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,1,0.66,0.546602317
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,1,30,Gasterosteiformes,Gasterosteiformes,166361,10326,10,10,7.09219858
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,2,30,Gasterosteiformes,Gasterosteiformes,166361,10326,411,411,291.4893616
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,3,30,Gasterosteiformes,Gasterosteiformes,166361,10326,9,9,6.382978722
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,4,30,Gasterosteiformes,Gasterosteiformes,166361,10326,10,10,7.09219858
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,5,30,Gasterosteiformes,Gasterosteiformes,166361,10326,6,6,4.255319148
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,6,30,Gasterosteiformes,Gasterosteiformes,166361,10326,6,6,4.255319148
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,7,30,Gasterosteiformes,Gasterosteiformes,166361,10326,8,8,5.673758864
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,8,30,Gasterosteiformes,Gasterosteiformes,166361,10326,83,83,58.86524821
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,9,30,Gasterosteiformes,Gasterosteiformes,166361,10326,79,79,56.02836878
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,10,30,Gasterosteiformes,Gasterosteiformes,166361,10326,3,3,2.127659574
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,11,30,Gasterosteiformes,Gasterosteiformes,166361,10326,7,7,4.964539006
7/3/2013,L3F,Lower Three Fathom Harbour,Eastern shore,44.63536,-63.29408,SG,S,12,30,Gasterosteiformes,Gasterosteiformes,166361,10326,6,6,4.255319148
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Anguilla rostrata,American eel,161127,158562,1,1,0.079666667
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,2,30,Anguilla rostrata,American eel,161127,158562,1,193.1,3.281333333
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,3,30,Anguilla rostrata,American eel,161127,158562,6,6,0.163
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Anguilla rostrata,American eel,161127,158562,1,193.1,3.281333333
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,7,30,Anguilla rostrata,American eel,161127,158562,1,1,0.079666667
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Anguilla rostrata,American eel,161127,158562,1,1,0.079666667
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Apeltes quadracus,Fourspine stickleback,166397,159436,2,2,0.921201814
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,4,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,7,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,8,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Apeltes quadracus,Fourspine stickleback,166397,159436,2,2,0.921201814
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Apeltes quadracus,Fourspine stickleback,166397,159436,1,1,0.460600907
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Apeltes quadracus,Fourspine stickleback,166397,159436,2,2,0.921201814
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,12,30,Apeltes quadracus,Fourspine stickleback,166397,159436,2,2,0.921201814
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,8,30,Cancer irroratus,Rock crab,98679,158057,2,1,0.033333333
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Cancer irroratus,Rock crab,98679,158057,2,9.525,0.3175
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Carcinus maenas,Green crab,98734,107381,9,11.95666667,0.581891111
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,2,30,Carcinus maenas,Green crab,98734,107381,4,69.89666667,3.401637778
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,3,30,Carcinus maenas,Green crab,98734,107381,5,33.635,1.636903333
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,4,30,Carcinus maenas,Green crab,98734,107381,3,72.99,3.55218
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Carcinus maenas,Green crab,98734,107381,2,55.38,2.69516
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,6,30,Carcinus maenas,Green crab,98734,107381,6,37.62,1.83084
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,8,30,Carcinus maenas,Green crab,98734,107381,2,32.475,1.58045
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Carcinus maenas,Green crab,98734,107381,1,1,0.048666667
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Carcinus maenas,Green crab,98734,107381,6,42.606,2.073492
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Carcinus maenas,Green crab,98734,107381,7,39.8875,1.941191667
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,12,30,Carcinus maenas,Green crab,98734,107381,5,21.68666667,1.055417778
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Crangon septemspinosa,Sand shrimp,97110,158355,2,1.246129032,0.607773057
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,2,30,Crangon septemspinosa,Sand shrimp,97110,158355,4,2.492258065,1.215546114
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,3,30,Crangon septemspinosa,Sand shrimp,97110,158355,9,5.607580645,2.734978757
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,4,30,Crangon septemspinosa,Sand shrimp,97110,158355,7,4.361451613,2.1272057
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Crangon septemspinosa,Sand shrimp,97110,158355,3,1.869193548,0.911659585
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,6,30,Crangon septemspinosa,Sand shrimp,97110,158355,8,4.984516129,2.431092228
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,7,30,Crangon septemspinosa,Sand shrimp,97110,158355,7,4.361451613,2.1272057
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,8,30,Crangon septemspinosa,Sand shrimp,97110,158355,1,0.623064516,0.303886528
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Crangon septemspinosa,Sand shrimp,97110,158355,15,9.345967742,4.558297928
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Crangon septemspinosa,Sand shrimp,97110,158355,2,1.246129032,0.607773057
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Crangon septemspinosa,Sand shrimp,97110,158355,14,8.722903226,4.254411399
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,12,30,Crangon septemspinosa,Sand shrimp,97110,158355,25,15.5766129,7.597163212
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Gasterosteus aculeatus,Threespine stickleback,166365,126505,1,0.66,0.546602317
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Menidia menidia,Atlantic Silverside,165994,159228,20,20,0.405
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Microgadus tomcod,Tomcod,164720,158928,1,1,0.733972853
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Microgadus tomcod,Tomcod,164720,158928,2,2,1.467945705
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Microgadus tomcod,Tomcod,164720,158928,1,1,0.733972853
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,12,30,Microgadus tomcod,Tomcod,164720,158928,1,1,0.733972853
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Myoxocephalus aenaeus,Grubby Sculpin,167321,159519,1,1,5.354611
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,12,30,Myoxocephalus aenaeus,Grubby Sculpin,167321,159519,1,1,5.354611
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,6,4.8,0.517340163
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,2,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,2,1.6,0.172446721
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,3,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,2,1.6,0.172446721
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,4,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,1,0.8,0.08622336
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,1,0.8,0.08622336
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,7,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,9,7.2,0.776010244
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,8,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,13,10.4,1.120903686
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,3,2.4,0.258670081
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,3,2.4,0.258670081
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Palaemonetes vulgaris,Grass shrimp,96391,158371,1,0.8,0.08622336
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Pseudopleuronectes americanus,Winter flounder,172905,158885,1,76.1,1.294283333
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Pseudopleuronectes americanus,Winter flounder,172905,158885,1,7.94,0.158283333
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,3,30,Syngnathus fuscus,Northern Pipefish,166451,159451,1,1,0.291896667
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,1,30,Gasterosteiformes,Gasterosteiformes,166361,10326,2,2,1.418439716
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,4,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,5,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,7,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,8,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,9,30,Gasterosteiformes,Gasterosteiformes,166361,10326,3,3,2.127659574
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,10,30,Gasterosteiformes,Gasterosteiformes,166361,10326,1,1,0.709219858
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,11,30,Gasterosteiformes,Gasterosteiformes,166361,10326,2,2,1.418439716
7/9/2013,SecPen,Second Peninsula,South shore,44.40193,-64.28066,SG,S,12,30,Gasterosteiformes,Gasterosteiformes,166361,10326,2,2,1.418439716
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,1,30,Carcinus maenas,Green crab,98734,107381,3,18.55,1.944658333
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,2,30,Carcinus maenas,Green crab,98734,107381,25,65.256,6.841004
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,3,30,Carcinus maenas,Green crab,98734,107381,43,145.1625,15.21786875
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,4,30,Carcinus maenas,Green crab,98734,107381,1,1,0.104833333
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,5,30,Carcinus maenas,Green crab,98734,107381,4,48.93,5.129495
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,6,30,Carcinus maenas,Green crab,98734,107381,23,210.256,22.04183733
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,1,30,Crangon septemspinosa,Sand shrimp,97110,158355,5,3.115322581,35.05208707
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,2,30,Crangon septemspinosa,Sand shrimp,97110,158355,8,4.984516129,56.08333931
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,3,30,Crangon septemspinosa,Sand shrimp,97110,158355,9,5.607580645,63.09375673
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,4,30,Crangon septemspinosa,Sand shrimp,97110,158355,10,6.230645161,70.10417414
7/16/2013,EP,East Petpeswick,Eastern shore,44.7121,-63.16647,Bare,S,5,30,Crangon septemspinosa,Sand shrimp,97110,158355,12,7.476774194,84.12500897
