site,habitat,latitude,longitude,date,species_espèce,abundance_abondance_m^-2,biomass_biomasse_mg/m^2
CresB,SG,44.23839,-64.40676,2013-06-24,Anomia simplex,11.0160772,52.06635054
CresB,SG,44.23839,-64.40676,2013-06-24,Aricidea (Acmira) catherinae,98.34469479,21.00428784
CresB,SG,44.23839,-64.40676,2013-06-24,Astyris lunata,11.0160772,15.70819164
CresB,SG,44.23839,-64.40676,2013-06-24,Bittiolum alternatum,9573.499703,3129.313606
CresB,SG,44.23839,-64.40676,2013-06-24,Capitella sp,65.59646319,4.695668501
CresB,SG,44.23839,-64.40676,2013-06-24,Caprellidae,11.0160772,0.471146625
CresB,SG,44.23839,-64.40676,2013-06-24,Clymenella zonalis,21.9321544,104.2284604
CresB,SG,44.23839,-64.40676,2013-06-24,Corophiidae,152.9250808,6.027429919
CresB,SG,44.23839,-64.40676,2013-06-24,Dexamine thea,43.76430879,0.492978779
CresB,SG,44.23839,-64.40676,2013-06-24,Fabricia stellaris,32.8482316,1.137027334
CresB,SG,44.23839,-64.40676,2013-06-24,Gemma gemma,11.0160772,0.340153698
CresB,SG,44.23839,-64.40676,2013-06-24,Gyptis bruneli,152.9250808,181.0739324
CresB,SG,44.23839,-64.40676,2013-06-24,Haminoea solitaria,11.0160772,0.798628941
CresB,SG,44.23839,-64.40676,2013-06-24,Harmothoe extenuata,43.76430879,16.25579425
CresB,SG,44.23839,-64.40676,2013-06-24,Heteromastus filiformis,43.76430879,221.6854511
CresB,SG,44.23839,-64.40676,2013-06-24,Idotea phosphorea,11.0160772,0.700384246
CresB,SG,44.23839,-64.40676,2013-06-24,Lacuna vincta,142.0090036,135.142791
CresB,SG,44.23839,-64.40676,2013-06-24,Leitoscoloplos sp ,152.9250808,1093.672614
CresB,SG,44.23839,-64.40676,2013-06-24,Leptochelia rapax,1670.259811,158.9725875
CresB,SG,44.23839,-64.40676,2013-06-24,Littorina saxatilis,65.59646319,35.64274736
CresB,SG,44.23839,-64.40676,2013-06-24,Mediomastus ambiseta,11.0160772,1.158859488
CresB,SG,44.23839,-64.40676,2013-06-24,Microphthalmus sp,152.9250808,5.700384246
CresB,SG,44.23839,-64.40676,2013-06-24,Mya arenaria,32.8482316,158.3612872
CresB,SG,44.23839,-64.40676,2013-06-24,Mytilidae,283.9180072,12815.67288
CresB,SG,44.23839,-64.40676,2013-06-24,Nemertea,447.6591651,527.6063313
CresB,SG,44.23839,-64.40676,2013-06-24,Odostomia sp,11.0160772,0.689468169
CresB,SG,44.23839,-64.40676,2013-06-24,Oligochaeta,2914.692612,525.2768405
CresB,SG,44.23839,-64.40676,2013-06-24,Parexogone hebes,131.0929264,10.50214828
CresB,SG,44.23839,-64.40676,2013-06-24,Parvicardium pinnulatum,32.8482316,15.19693477
CresB,SG,44.23839,-64.40676,2013-06-24,Pholoe minuta,262.0858528,46.90268099
CresB,SG,44.23839,-64.40676,2013-06-24,Phoxocephalus holbolli,98.34469479,24.06540695
CresB,SG,44.23839,-64.40676,2013-06-24,Rissoidae,54.68038599,13.35211772
CresB,SG,44.23839,-64.40676,2013-06-24,Saccoglossus kowalevskii,120.1768492,476.6413501
CresB,SG,44.23839,-64.40676,2013-06-24,Schistomeringos sp,21.9321544,3.745969784
CresB,SG,44.23839,-64.40676,2013-06-24,Spio filicornis,11.0160772,1.431761418
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Aglaophamus circinata,11.0160772,59.66968824
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Ameroculodes edwardsi,11.0160772,38.69559209
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Ampharete arctica,76.51254039,22.28146887
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Ampharete oculata��,32.8482316,0.831377172
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Arctica islandica,32.8482316,74.18724653
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Aricidea (Acmira) catherinae,556.8199371,76.63501878
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Astarte undata,11.0160772,1.368032486
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Bipalponephtys neotena�,21.9321544,1.530006113
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Capitella sp,65.59646319,2.403292289
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Caudina arenata,11.0160772,93.95975024
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Clymenella zonalis,43.76430879,280.1082962
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Corophiidae,11.0160772,0.482062702
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Crepidula plana,11.0160772,16.22556196
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Cyathura polita,11.0160772,2.228635054
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Dexamine thea,21.9321544,0.623971706
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Dipolydora socialis,11.0160772,0.78574797
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Glycera capitata,142.0090036,106.3025151
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Glycera dibranchiata,11.0160772,75.82482753
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Harmothoe extenuata,11.0160772,0.7222164
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Lacuna vincta,21.9321544,13.14471225
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Mya arenaria,11.0160772,1.562754345
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Nemertea,11.0160772,4.684752423
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Nephtys caeca,43.76430879,786.1994673
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Nicolea venustula,11.0160772,2.412680115
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Ophelina acuminata,414.9109335,117.2076762
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Orchomenella minuta,11.0160772,0.143664309
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Parexogone hebes,5490.886831,119.9476116
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Parvicardium pinnulatum,65.59646319,118.5531884
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Pholoe minuta,21.9321544,6.114758536
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Phyllodoce maculata,207.5054668,21.2116933
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Pygospio elegans,21.9321544,0.37290193
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Saccoglossus kowalevskii,21.9321544,4.368186185
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Salemia coeca,11.0160772,0.361985853
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Schistomeringos sp,524.0717055,69.97206358
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Scoletoma fragilis,120.1768492,18.14427561
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Scoloplos sp,11.0160772,0.318321544
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Spiophanes bombyx,262.0858528,157.6954065
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Spisula solidissima,21.9321544,120.5043315
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Stereobalanus canadensis,185.6733124,25.77461357
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Sthenelais limicola,11.0160772,113.1757139
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Tellina sp,1735.756275,774.0826216
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Tharyx acutus,54.68038599,15.97110296
CrouchI,Bare,44.64077,-63.95612,2013-07-11,Tritia trivittata,21.9321544,11.31081128
CrouchI,SG,44.64223,-63.95655,2013-07-11,Acteocina canaliculata,21.9321544,6.660562396
CrouchI,SG,44.64223,-63.95655,2013-07-11,Ampelisca vadorum,54.68038599,70.79868352
CrouchI,SG,44.64223,-63.95655,2013-07-11,Ampithoe valida,43.76430879,29.40875033
CrouchI,SG,44.64223,-63.95655,2013-07-11,Anomia simplex,11.0160772,7.850414811
CrouchI,SG,44.64223,-63.95655,2013-07-11,Aricidea (Acmira) catherinae,283.9180072,50.09563357
CrouchI,SG,44.64223,-63.95655,2013-07-11,Bittiolum alternatum,120.1768492,20.9715396
CrouchI,SG,44.64223,-63.95655,2013-07-11,Capitella sp,43.76430879,11.56340931
CrouchI,SG,44.64223,-63.95655,2013-07-11,Caprellidae,414.9109335,58.36488953
CrouchI,SG,44.64223,-63.95655,2013-07-11,Chironomidae larvae,21.9321544,2.425124443
CrouchI,SG,44.64223,-63.95655,2013-07-11,Clymenella torquata,32.8482316,154.7589817
CrouchI,SG,44.64223,-63.95655,2013-07-11,Clymenella zonalis,687.8128635,1181.39421
CrouchI,SG,44.64223,-63.95655,2013-07-11,Corophiidae,403.9948563,11.74745437
CrouchI,SG,44.64223,-63.95655,2013-07-11,Crepidula fornicata,54.68038599,1082.974858
CrouchI,SG,44.64223,-63.95655,2013-07-11,Dexamine thea,436.7430879,21.94219719
CrouchI,SG,44.64223,-63.95655,2013-07-11,Dodecaceria concharum,21.9321544,14.87207231
CrouchI,SG,44.64223,-63.95655,2013-07-11,Eulalia viridis,11.0160772,0.471146625
CrouchI,SG,44.64223,-63.95655,2013-07-11,Glycera capitata,11.0160772,6.082010305
CrouchI,SG,44.64223,-63.95655,2013-07-11,Glycera dibranchiata,43.76430879,443.0744127
CrouchI,SG,44.64223,-63.95655,2013-07-11,Gyptis bruneli,142.0090036,68.33639857
CrouchI,SG,44.64223,-63.95655,2013-07-11,Gyptis vittata,11.0160772,7.955645795
CrouchI,SG,44.64223,-63.95655,2013-07-11,Harmothoe extenuata,54.68038599,70.01747446
CrouchI,SG,44.64223,-63.95655,2013-07-11,Harmothoe sp,21.9321544,113.4197974
CrouchI,SG,44.64223,-63.95655,2013-07-11,Idotea phosphorea,11.0160772,0.973286176
CrouchI,SG,44.64223,-63.95655,2013-07-11,Lacuna vincta,4868.670431,2141.725186
CrouchI,SG,44.64223,-63.95655,2013-07-11,Lepidonotus squamatus,11.0160772,7.566596804
CrouchI,SG,44.64223,-63.95655,2013-07-11,Littorina littorea,11.0160772,1301.809458
CrouchI,SG,44.64223,-63.95655,2013-07-11,Littorina saxatilis,54.68038599,36.31954414
CrouchI,SG,44.64223,-63.95655,2013-07-11,Microphthalmus sp,11.0160772,0.602139551
CrouchI,SG,44.64223,-63.95655,2013-07-11,Mya arenaria,11.0160772,1.202523797
CrouchI,SG,44.64223,-63.95655,2013-07-11,Mytilidae,11.0160772,11886.61646
CrouchI,SG,44.64223,-63.95655,2013-07-11,Nereididae,11.0160772,0.17641254
CrouchI,SG,44.64223,-63.95655,2013-07-11,Oligochaeta,120.1768492,6.147506768
CrouchI,SG,44.64223,-63.95655,2013-07-11,Parexogone hebes,11.0160772,0.285573312
CrouchI,SG,44.64223,-63.95655,2013-07-11,Parvicardium pinnulatum,54.68038599,10.98332897
CrouchI,SG,44.64223,-63.95655,2013-07-11,Pholoe minuta,174.7572352,21.67016854
CrouchI,SG,44.64223,-63.95655,2013-07-11,Phoxocephalus holbolli,917.0504847,58.42460047
CrouchI,SG,44.64223,-63.95655,2013-07-11,Protodorvillea gaspeensis,43.76430879,3.167417693
CrouchI,SG,44.64223,-63.95655,2013-07-11,Rissoidae,142.0090036,21.65925247
CrouchI,SG,44.64223,-63.95655,2013-07-11,Scoletoma fragilis,54.68038599,1198.87085
CrouchI,SG,44.64223,-63.95655,2013-07-11,Tellina sp,21.9321544,3.221998079
CrouchI,SG,44.64223,-63.95655,2013-07-11,Testudinalia testudinalis,11.0160772,17.44564667
CrouchI,SG,44.64223,-63.95655,2013-07-11,Tharyx acutus,131.0929264,28.09973801
CrouchI,SG,44.64223,-63.95655,2013-07-11,Turbonilla sp,32.8482316,6.715142782
EastPet,Bare,44.71233,-63.16619,2013-07-15,Alitta sp,622.3164003,222.8316392
EastPet,Bare,44.71233,-63.16619,2013-07-15,Alitta succinea,11.0160772,316.0686927
EastPet,Bare,44.71233,-63.16619,2013-07-15,Alitta virens,11.0160772,746.9670858
EastPet,Bare,44.71233,-63.16619,2013-07-15,Capitella sp,120.1768492,11.95682473
EastPet,Bare,44.71233,-63.16619,2013-07-15,Chironomidae larvae,11.0160772,0.318321544
EastPet,Bare,44.71233,-63.16619,2013-07-15,Clymenella zonalis,65.59646319,881.0929264
EastPet,Bare,44.71233,-63.16619,2013-07-15,Corophiidae,54.68038599,12.86637412
EastPet,Bare,44.71233,-63.16619,2013-07-15,Cumacea,11.0160772,0.711300323
EastPet,Bare,44.71233,-63.16619,2013-07-15,Ecrobia truncata�,65.59646319,14.73845952
EastPet,Bare,44.71233,-63.16619,2013-07-15,Eteone longa,11.0160772,2.55611737
EastPet,Bare,44.71233,-63.16619,2013-07-15,Gammarus lawrencianus,3842.559174,128.0255087
EastPet,Bare,44.71233,-63.16619,2013-07-15,Haminoea solitaria,76.51254039,26.63322079
EastPet,Bare,44.71233,-63.16619,2013-07-15,Heteromastus filiformis,109.260772,187.07057030000001
EastPet,Bare,44.71233,-63.16619,2013-07-15,Hypereteone heteropoda,43.76430879,5.689031526
EastPet,Bare,44.71233,-63.16619,2013-07-15,Jaera (Jaera) albifrons,11.0160772,0.37290193
EastPet,Bare,44.71233,-63.16619,2013-07-15,Limecola balthica,65.59646319,18.5809187
EastPet,Bare,44.71233,-63.16619,2013-07-15,Nemertea,11.0160772,131.5732338
EastPet,Bare,44.71233,-63.16619,2013-07-15,Nephtys caeca,54.68038599,450.7265828
EastPet,Bare,44.71233,-63.16619,2013-07-15,Nereididae,43.76430879,3.931543097
EastPet,Bare,44.71233,-63.16619,2013-07-15,Odostomia sp,11.0160772,5.454697406
EastPet,Bare,44.71233,-63.16619,2013-07-15,Oligochaeta,1037.127334,25.06506855
EastPet,Bare,44.71233,-63.16619,2013-07-15,Parexogone hebes,742.3932495,15.9938084
EastPet,Bare,44.71233,-63.16619,2013-07-15,Phyllodoce maculata,65.59646319,3.156501616
EastPet,Bare,44.71233,-63.16619,2013-07-15,Polydora cornuta,731.4771723,57.4591826
EastPet,Bare,44.71233,-63.16619,2013-07-15,Polydora sp,54.68038599,10.04454633
EastPet,Bare,44.71233,-63.16619,2013-07-15,Protodorvillea gaspeensis,11.0160772,0.536643088
EastPet,Bare,44.71233,-63.16619,2013-07-15,Pygospio elegans,1877.665278,52.57358309
EastPet,Bare,44.71233,-63.16619,2013-07-15,Spio filicornis,11.0160772,0.56939132
EastPet,Bare,44.71233,-63.16619,2013-07-15,Spiophanes bombyx,43.76430879,65.12707187
EastPet,Bare,44.71233,-63.16619,2013-07-15,Spisula solidissima,11.0160772,0.514810934
EastPet,Bare,44.71233,-63.16619,2013-07-15,Stereobalanus canadensis,11.0160772,4.029787791
EastPet,Bare,44.71233,-63.16619,2013-07-15,Streblospio benedicti,2030.490359,223.3010305
EastPet,Bare,44.71233,-63.16619,2013-07-15,Tellina sp,43.76430879,29.75898175
EastPet,Bare,44.71233,-63.16619,2013-07-15,Turbonilla sp,11.0160772,1.431761418
EastPet,SG,44.71216,-63.1665,2013-07-15,Alitta sp,21.9321544,2.70894245
EastPet,SG,44.71216,-63.1665,2013-07-15,Alitta virens,11.0160772,540.7842197
EastPet,SG,44.71216,-63.1665,2013-07-15,Ampelisca vadorum,32.8482316,0.634887783
EastPet,SG,44.71216,-63.1665,2013-07-15,Capitella sp,87.42861759,3.669557244
EastPet,SG,44.71216,-63.1665,2013-07-15,Caprellidae,11.0160772,1.068845516
EastPet,SG,44.71216,-63.1665,2013-07-15,Clymenella zonalis,2827.363994,4739.891066
EastPet,SG,44.71216,-63.1665,2013-07-15,Corophiidae,11.0160772,0.471146625
EastPet,SG,44.71216,-63.1665,2013-07-15,Cumacea,11.0160772,1.988481355
EastPet,SG,44.71216,-63.1665,2013-07-15,Dipolydora sp1,21.9321544,8.156064972
EastPet,SG,44.71216,-63.1665,2013-07-15,Ecrobia truncata�,11.0160772,2.348711903
EastPet,SG,44.71216,-63.1665,2013-07-15,Gammarus lawrencianus,316.6662388,21.60467208
EastPet,SG,44.71216,-63.1665,2013-07-15,Glycera dibranchiata,11.0160772,15.91739586
EastPet,SG,44.71216,-63.1665,2013-07-15,Heteromastus filiformis,32.8482316,55.32443455
EastPet,SG,44.71216,-63.1665,2013-07-15,Idotea phosphorea,43.76430879,3.811466247
EastPet,SG,44.71216,-63.1665,2013-07-15,Jaera (Jaera) albifrons,21.9321544,0.66763601400000006
EastPet,SG,44.71216,-63.1665,2013-07-15,Lacuna sp,98.34469479,21.81041459
EastPet,SG,44.71216,-63.1665,2013-07-15,Lacuna vincta,982.5469479,31.37456117
EastPet,SG,44.71216,-63.1665,2013-07-15,Leitoscoloplos sp ,21.9321544,4.335437953
EastPet,SG,44.71216,-63.1665,2013-07-15,Littorina littorea,11.0160772,88.40014846
EastPet,SG,44.71216,-63.1665,2013-07-15,Littorina saxatilis,32.8482316,21.56100777
EastPet,SG,44.71216,-63.1665,2013-07-15,Mactridae sp 1,32.8482316,1.693747271
EastPet,SG,44.71216,-63.1665,2013-07-15,Mya arenaria,21.9321544,35.31526504
EastPet,SG,44.71216,-63.1665,2013-07-15,Mytilidae,98.34469479,44.42319273
EastPet,SG,44.71216,-63.1665,2013-07-15,Nephtys caeca,98.34469479,917.0231945
EastPet,SG,44.71216,-63.1665,2013-07-15,Nereididae,43.76430879,1.126111257
EastPet,SG,44.71216,-63.1665,2013-07-15,Oligochaeta,54.68038599,5.459793904
EastPet,SG,44.71216,-63.1665,2013-07-15,Parexogone hebes,8176.241822,156.9749454
EastPet,SG,44.71216,-63.1665,2013-07-15,Pholoe minuta,21.9321544,4.739332809
EastPet,SG,44.71216,-63.1665,2013-07-15,Phoxocephalus holbolli,65.59646319,2.872683608
EastPet,SG,44.71216,-63.1665,2013-07-15,Phyllodoce maculata,54.68038599,2.813300148
